pathogen,episode_days,incub_min_days,incub_max_days,case_free_days,cooldown_days,rt_applicable,si_mean_days,si_sd_days,si_dist,mem_applicable,severity_weight,source_ref
Bordetella pertussis,21,4,21,14,14,1,20,7,gamma,0,0.6,Kretzschmar et al. 2010 PLoS Med (pertussis SI window)
Campylobacter,30,1,7,14,14,0,,,,0,0.7,
Candida auris,365,,,21,21,0,,,,0,1.0,
Carbapenemase-producing Enterobacterales,365,,,21,21,0,,,,0,1.0,
Clostridioides difficile,60,1,28,21,21,0,,,,0,0.9,
Escherichia coli,30,,,14,14,0,,,,0,0.3,
ETEC,30,1,10,21,21,1,4.5,2,gamma,0,1.0,Robinson et al. 2020 Epidemiol Infect (STEC/ETEC SI estimate used as proxy)
Giardia lamblia,60,3,25,21,21,0,,,,0,0.4,
Influenza A,14,1,4,14,14,1,2.6,1.1,gamma,1,0.6,Cowling et al. 2009 Epidemiology (influenza household SI)
Influenza B,14,1,4,14,14,1,2.6,1.1,gamma,1,0.5,"Cowling et al. 2009 Epidemiology (influenza household SI, applied to B)"
Legionella,30,2,10,14,14,0,,,,0,1.0,
Listeria monocytogenes,90,3,70,21,21,0,,,,0,1.0,
MRSA,180,,,21,21,0,,,,0,0.8,
Mycobacterium tuberculosis complex,365,14,365,14,,0,,,,0,1.0,
Neisseria meningitidis,30,1,10,21,21,0,,,,0,1.0,
Norovirus,14,0.5,3,14,14,1,3,1.5,gamma,0,0.6,Sukhrie et al. 2012 Epidemiol Infect (norovirus SI in institutional outbreaks)
Rotavirus,14,1,3,14,14,0,,,,0,0.5,
RSV,14,2,8,14,14,0,,,,1,0.5,
Salmonella,21,0.5,3,14,14,0,,,,0,0.8,
SARS-CoV-2,30,2,14,14,14,1,5.2,1.7,lognormal,0,0.7,Nishiura et al. 2020 Int J Infect Dis (COVID-19 SI estimate)
Shigella,21,1,3,14,14,1,2.5,1.5,gamma,0,0.9,Kirkwood et al. 2020 J Infect Dis (estimate for shigellosis household SI)
STEC,30,1,10,21,21,1,4.5,2,gamma,0,1.0,Robinson et al. 2020 Epidemiol Infect (STEC SI estimate)
VRE,180,,,21,21,0,,,,0,0.7,
